Model,Accuracy,Precision,Recall,F1 Score,False Positives,False Negatives,FP Rate (%),FN Rate (%),Model Size (MB),Train Time (s),Inference Time (ms/sample)
Logistic_Regressin,0.9826665795338545,0.9964135651623565,0.9396210149372503,0.9671843003412969,408,7284,0.1262653615119658,6.0378985062749715,0.0011434555053710938,9.686550855636597,9.798399881200194e-05
SGD Classifier,0.97541502635392,0.9856338626586648,0.9230176229712032,0.9532986319195932,1623,9287,0.5022761807203934,7.698237702879689,0.0013856887817382812,5.191004037857056,7.848412088396491e-05
Random_Forest,0.9978209285503429,0.9994490955986077,0.9925313748570103,0.9959782233479315,66,901,0.020425279068112118,0.7468625142989771,1.4747552871704102,50.454203367233276,0.0010658258804741368
