Round,F1,Precision,Recall,FP Rate,FN Rate,Strategy
1,0.8368038500278088,0.9877877372005874,0.7258563208005424,0.002439569611787092,0.07452607991404495,FedAvg_500
2,0.8364272213708202,0.9879176866999702,0.7252197065274515,0.0024111763205359213,0.07469914378452827,FedAvg_500
3,0.8358518756588097,0.9879345626392013,0.7243460197516209,0.0024048667002578832,0.07493665591928013,FedAvg_500
4,0.8356362933616774,0.9879337100561465,0.724022739066067,0.002403965325932449,0.07502453991600994,FedAvg_500
5,0.8352620517787211,0.9879311867100429,0.7234623858777733,0.002402613264444298,0.07517687217700829,FedAvg_500
6,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
7,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
8,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
9,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
10,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
11,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
12,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
13,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
14,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
15,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
16,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
17,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
18,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
19,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
20,0.4274880626500474,0.2718504403664267,1.0,0.7281495596335733,0.0,FedAvg_500
1,0.8366429607059603,0.9877815391559467,0.7256175904481333,0.0024400202989498087,0.07459097886547619,Median_500
2,0.8371584198241425,0.9879378151412104,0.726308913760318,0.002410725633373204,0.0744030423186232,Median_500
3,0.8369735564610457,0.9879597983147779,0.7260187900681542,0.0024053173874206,0.07448191257209869,Median_500
4,0.8350823927592386,0.9879201288157242,0.7231987877803217,0.002403965325932449,0.07524853143588028,Median_500
5,0.8354526308537441,0.9879358570497502,0.7237458781712592,0.002402613264444298,0.07509980467218368,Median_500
6,0.8361909534091583,0.987953930733407,0.7248450325021427,0.002402613264444298,0.07480099908330232,Median_500
7,0.8338879916006154,0.9876263629040493,0.7215658058558566,0.0024575970982957714,0.07569245829115652,Median_500
8,0.8345794437286561,0.9884077109483487,0.722184183782583,0.0023025607143211256,0.07552435197946308,Median_500
9,0.8317022602629883,0.9883464034983613,0.7179185365829397,0.0023012086528329746,0.07668397004913391,Median_500
10,0.8321589629312439,0.9886120996441281,0.7184589955751992,0.002249830316283237,0.07653704603408817,Median_500
11,0.8300955466085475,0.9885798983301681,0.7154052364839661,0.002246675506144218,0.07736721178781288,Median_500
12,0.8281584788741079,0.9885550523601755,0.7125454458040654,0.0022426193216797652,0.0781446471434997,Median_500
13,0.826873090933992,0.9885272969619822,0.7106588128801656,0.002242168634517048,0.07865752913467164,Median_500
14,0.824162662080606,0.9884637146143287,0.7066965521700423,0.002242168634517048,0.07973467145356525,Median_500
15,0.8257870196067074,0.9885018685908029,0.7090689350471078,0.002242168634517048,0.07908973812371724,Median_500
16,0.8250054821330762,0.9884835297113359,0.707926676624817,0.002242168634517048,0.07940026157882923,Median_500
17,0.8225349440324334,0.9884253335132545,0.7043258271426464,0.002242168634517048,0.08037915409625056,Median_500
18,0.8215581904110465,0.9884113718222192,0.7029017342765392,0.00224036588586618,0.08076629436902445,Median_500
19,0.8219188696533141,0.9884199025790235,0.7034256147721037,0.00224036588586618,0.08062387722560588,Median_500
20,0.8231931732425163,0.9884499836194698,0.7052790907026133,0.00224036588586618,0.08012000897768828,Median_500
1,0.838491192580011,0.9877964607937696,0.7283944886445587,0.0024463299192278467,0.07383607786792523,Krum_500
2,0.8379325423877696,0.9879391124429545,0.727474382077982,0.00241433113067494,0.07408620924323316,Krum_500
3,0.8383198096341681,0.987994852365482,0.7280281038675975,0.0024048667002578832,0.07393567973088568,Krum_500
4,0.837303236395284,0.9879700604202363,0.7265095135703284,0.0024048667002578832,0.07434850917193445,Krum_500
5,0.8366945292748553,0.9879529766553653,0.7256026698011078,0.0024053173874206,0.07459503504994064,Krum_500
6,0.8341976753765012,0.987905064626568,0.7218807972930631,0.002402613264444298,0.0756068277302403,Krum_500
7,0.83280010434409,0.9878706659416218,0.7198084852061785,0.002402613264444298,0.07617018668363654,Krum_500
8,0.8327681188331517,0.9878743335889378,0.7197587497160932,0.0024017118901188644,0.07618370729851805,Krum_500
9,0.8310820155824996,0.9878326944108937,0.7172653438131538,0.0024017118901188644,0.07686154079124441,Krum_500
10,0.8301130272159536,0.9881897514788565,0.7156356775880277,0.002325095072456975,0.07730456627219522,Krum_500
11,0.832029937463879,0.9883452275873709,0.7184076022354445,0.0023030114014838425,0.0765510173361324,Krum_500
12,0.8304705434494215,0.9883149183279831,0.7161015333451594,0.0023016593399956915,0.07717792317947174,Krum_500
13,0.8305267418573594,0.9885562574384327,0.7160584292537522,0.002253435813584973,0.07718964104570238,Krum_500
14,0.8311522827517945,0.9886201276063634,0.7169553259249558,0.002243520696005199,0.07694581929067248,Krum_500
