Round,F1,Precision,Recall,FP Rate,FN Rate
1,0.8367563620934009,0.98778435115365,0.7257866911144232,0.0033509878110428164,0.27421330888512224
2,0.8362937161226045,0.9879144114431322,0.7250207645671106,0.003311375099571309,0.2749792354324335
3,0.8355971332323656,0.9879261042286914,0.7239680300269732,0.0033033287675536594,0.2760319699725692
4,0.8350444809029806,0.9879191985994061,0.7231424208915584,0.003301471921703432,0.2768575791079826
5,0.834755767128088,0.9879187695320024,0.7227097221278169,0.0032996150758532053,0.2772902778717234
6,0.8262843972554522,0.9876433350085528,0.7102460083124582,0.003317564585738732,0.2897539916870614
7,0.6929077268387395,0.5974023478778796,0.8247603163840309,0.20751118904349072,0.17523968361567854
8,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
9,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
10,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
11,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
12,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
13,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
14,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
15,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
16,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
17,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
18,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
19,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
20,0.4274880626500474,0.2718504403664267,1.0,0.999999999999381,0.0
