Round,F1,Precision,Recall,FP Rate,FN Rate
1,0.8367563620934009,0.98778435115365,0.7257866911144232,0.0033509878110428164,0.27421330888512224
2,0.8362937161226045,0.9879144114431322,0.7250207645671106,0.003311375099571309,0.2749792354324335
3,0.8355971332323656,0.9879261042286914,0.7239680300269732,0.0033033287675536594,0.2760319699725692
4,0.8350444809029806,0.9879191985994061,0.7231424208915584,0.003301471921703432,0.2768575791079826
5,0.834755767128088,0.9879187695320024,0.7227097221278169,0.0032996150758532053,0.2772902778717234
6,0.8329970849953974,0.9878755211069642,0.7201002667480119,0.0032996150758532053,0.2798997332515241
7,0.8333330138422698,0.9876946845854113,0.7206987504787041,0.003352225708276301,0.27930124952083285
8,0.83391815218318,0.9876271209515295,0.7216105677969333,0.003375126807095766,0.27838943220260515
9,0.8263682556398083,0.987751516939931,0.710313980148908,0.003288474000751844,0.2896860198506117
10,0.8308107879640196,0.9877141571555499,0.7169238267812351,0.003329324609456836,0.2830761732182956
11,0.8263652444988011,0.9879930716840836,0.7101846678746865,0.0032222464987604177,0.28981533212483307
12,0.8282136449478369,0.9880809584867161,0.7128737000386279,0.0032104864750423143,0.2871262999608961
13,0.8263717734397382,0.9881401132237392,0.7101183538879061,0.003182014838672168,0.28988164611161327
14,0.8269011555353247,0.9884375338631548,0.7107466789126495,0.0031040273129626385,0.2892533210868709
15,0.8276765020073042,0.9889797959084929,0.7116120764401326,0.002960431233878425,0.28838792355938936
16,0.8272820091572496,0.98850974609465,0.7112722172578835,0.0030866967516938537,0.28872778274163785
17,0.8285266602680481,0.9893172670430094,0.712694652274321,0.00287315947891776,0.2873053477252026
18,0.8279981413750355,0.989213032812374,0.7119668562694073,0.0028985363722041947,0.2880331437301153
19,0.8289451375991246,0.9893354058547196,0.7133047409526999,0.002870683684450791,0.2866952590468248
20,0.8294766964901267,0.9893514637143547,0.7140839302973685,0.0028694457872173065,0.2859160697021575
