Contamination,Max Samples,Accuracy,Precision,Recall,F1 Score,False Positives,False Negatives,FP Rate (%),FN Rate (%),Train Time (s),Inference Time (ms/sample)
0.01,256,0.7284055499419966,0.5086369442248039,0.027727535722515753,0.05258830354377564,16157,586466,1.0000352800711543,97.22724642774843,7.387373924255371,0.0034974674457923342
0.01,1000,0.7340824054435798,0.6447293196710497,0.048609810159634344,0.09040358025433619,16157,573870,1.0000352800711543,95.13901898403657,9.332976341247559,0.004476352947874873
0.01,10000,0.7884699801787786,0.9073687414396591,0.24711575603747404,0.3884419635527828,15217,454133,0.9418541100973421,75.2884243962526,16.697418928146362,0.006814532975024921
0.01,0.05,0.8112887219143028,0.9254702794460897,0.332612721343654,0.48935275013811363,16157,402562,1.0000352800711543,66.7387278656346,26.895575284957886,0.00827293130236734
0.01,0.1,0.8382907418941661,0.941608028941196,0.4319394685928669,0.5922149359579039,16157,342649,1.0000352800711543,56.80605314071331,32.60245394706726,0.009167097842150147
0.01,auto,0.7284055499419966,0.5086369442248039,0.027727535722515753,0.05258830354377564,16157,586466,1.0000352800711543,97.22724642774843,7.177339553833008,0.003383092000593795
0.01,1615643,0.9038242608505188,0.961722975454091,0.673004073336638,0.7918673400318736,16157,197241,1.0000352800711543,32.6995926663362,112.60989046096802,0.01280878020712443
0.020000000000000004,256,0.7264743554497542,0.4694872678914446,0.047407869149241284,0.08611956030718265,32313,574595,2.0000086652806344,95.25921308507587,7.5345070362091064,0.003663973214950459
0.020000000000000004,1000,0.730666196750185,0.5397664150405925,0.06282752892533211,0.11255403541129283,32313,565294,2.0000086652806344,93.71724710746679,9.206616163253784,0.004461743317912034
0.020000000000000004,10000,0.7846828559504677,0.8299888458624464,0.2615274432145042,0.39773086838406313,32313,445440,2.0000086652806344,73.84725567854959,16.905848741531372,0.006846258664803449
0.020000000000000004,0.05,0.8175699489010895,0.8771532305586709,0.38250239144814824,0.5327062452523937,32313,372469,2.0000086652806344,61.74976085518517,26.971144437789917,0.008581167373649732
0.020000000000000004,0.1,0.8474951258183352,0.9019135851187188,0.49258195165378793,0.6371714247419917,32313,306070,2.0000086652806344,50.741804834621206,34.93295454978943,0.009354823807633852
0.020000000000000004,auto,0.7264743554497542,0.4694872678914446,0.047407869149241284,0.08611956030718265,32313,574595,2.0000086652806344,95.25921308507587,7.538614749908447,0.0036158944833784078
0.020000000000000004,1615643,0.9065878745322994,0.9298383892337656,0.7099542267706249,0.8051538812982847,32313,174953,2.0000086652806344,29.00457732293751,107.77645659446716,0.012155683092043366
0.030000000000000006,256,0.722286570333788,0.42229257511498713,0.05860167011775706,0.10292096620157928,48357,567843,2.9930498259825966,94.1398329882243,7.467090606689453,0.0035724848719468
0.030000000000000006,1000,0.7383905240319916,0.5949458061389068,0.11802729152125943,0.19697753626596795,48470,531998,3.0000439453517886,88.19727084787405,9.079846858978271,0.004561089747238634
0.030000000000000006,10000,0.782369929431404,0.7768888725223939,0.2798052358208262,0.4114295186589586,48470,434415,3.0000439453517886,72.01947641791737,17.19939947128296,0.00689323676356307
0.030000000000000006,0.05,0.8206972671231827,0.83965622188112,0.4207920874150974,0.5606270272419349,48470,349373,3.0000439453517886,57.92079125849026,26.14556384086609,0.008139952121741657
0.030000000000000006,0.1,0.8454530622840645,0.8643121687937584,0.5118561119114841,0.6429496630598662,48470,294444,3.0000439453517886,48.81438880885159,32.45102000236511,0.008758777359879946
0.030000000000000006,auto,0.722286570333788,0.42229257511498713,0.05860167011775706,0.10292096620157928,48357,567843,2.9930498259825966,94.1398329882243,7.0721752643585205,0.003366223510630671
0.030000000000000006,1615643,0.9070381110078537,0.9018555715743606,0.7383962957006984,0.8119811677627831,48470,157797,3.0000439453517886,26.160370429930154,100.86718225479126,0.011330644201362622
0.04000000000000001,256,0.7166714589734969,0.37730285978570877,0.06491807735858128,0.11077619434916369,64626,564033,4.000017330561269,93.50819226414187,7.031289577484131,0.0033616515272726585
0.04000000000000001,1000,0.7547405529210387,0.6567066660292267,0.20495498109222451,0.3124087111659195,64626,479564,4.000017330561269,79.50450189077755,8.873469352722168,0.004387771401595013
0.04000000000000001,10000,0.77839982621503,0.7315627479241866,0.2919854573426991,0.4173827523283646,64626,427068,4.000017330561269,70.80145426573009,16.58283543586731,0.006464569456391621
0.04000000000000001,0.05,0.8228903108569636,0.8096245279350509,0.4556434031674876,0.5831177193825537,64626,328351,4.000017330561269,54.435659683251245,26.543627738952637,0.008001497284815218
0.04000000000000001,0.1,0.8412075892112705,0.8299803477423581,0.5230233872852877,0.6416820909183362,64626,287708,4.000017330561269,47.697661271471226,33.7328667640686,0.00870534202903693
0.04000000000000001,auto,0.7166714589734969,0.37730285978570877,0.06491807735858128,0.11077619434916369,64626,564033,4.000017330561269,93.50819226414187,7.251279592514038,0.00351620624862602
0.04000000000000001,1615643,0.9054985636600125,0.8763753921493611,0.7595173004902261,0.8137725353945243,64626,145057,4.000017330561269,24.048269950977385,111.18008518218994,0.012598091600554197
0.05000000000000001,256,0.7101581280979109,0.33591733390329315,0.06774471104509186,0.11275086674659268,80783,562328,5.000052610632423,93.22552889549081,7.56966233253479,0.003700329664436546
0.05000000000000001,1000,0.7575032652284939,0.6436520994984495,0.2419034766765419,0.3516474512223336,80783,457277,5.000052610632423,75.8096523323458,9.443198204040527,0.004603618035783631
0.05000000000000001,10000,0.7735324048576865,0.6919771374536248,0.30086655802225165,0.41938681894127244,80783,421711,5.000052610632423,69.91334419777483,17.4251708984375,0.007061299622449296
