Round,F1,Precision,Recall,FP Rate,FN Rate
1,0.8367563620934009,0.98778435115365,0.7257866911144232,0.0033509878110428164,0.27421330888512224
2,0.8362937161226045,0.9879144114431322,0.7250207645671106,0.003311375099571309,0.2749792354324335
3,0.8355971332323656,0.9879261042286914,0.7239680300269732,0.0033033287675536594,0.2760319699725692
4,0.8350444809029806,0.9879191985994061,0.7231424208915584,0.003301471921703432,0.2768575791079826
5,0.834755767128088,0.9879187695320024,0.7227097221278169,0.0032996150758532053,0.2772902778717234
6,0.8356420336206971,0.987940496495935,0.7240277126150755,0.0032996150758532053,0.275972287384467
7,0.8360199579651137,0.9876798152763061,0.7247356144239553,0.003375126807095766,0.2752643855755884
8,0.8363971449246131,0.987689244287114,0.7252976254619183,0.003375126807095766,0.2747023745376262
9,0.8369752459497237,0.9877036796507511,0.7261597072900624,0.003375126807095766,0.2738402927094837
10,0.8363414806780335,0.9884513557448175,0.7248035862604051,0.0031615895343196725,0.27519641373913867
11,0.8354040151153228,0.9886225618156769,0.7233048901591701,0.003107741004663092,0.27669510984037116
12,0.8345327876941827,0.9886713978904735,0.7219736368745555,0.003088553597544081,0.2780263631249836
13,0.833663987235385,0.9886625183082703,0.72067885628267,0.0030854588544603693,0.27932114371686695
14,0.8326349032097718,0.9884622745541207,0.7192481320178848,0.003134355795183011,0.2807518679816497
15,0.832133199064212,0.9884013153993861,0.7185319409606575,0.003147972664751342,0.2814680590388758
16,0.8315082663480443,0.9883641810401911,0.7176201236424283,0.0031541621509187647,0.2823798763571035
17,0.8309587801135212,0.9883153217400845,0.7168276715004037,0.0031640653287866413,0.2831723284991269
18,0.8305226488874534,0.9882825278810409,0.7161960307763212,0.0031702548149540647,0.2838039692232082
19,0.8300960744208946,0.9882903016037295,0.7155577586535609,0.003165303226020126,0.28444224134596763
20,0.8299978265510828,0.9883059150632915,0.7154035786342966,0.0031603516370861877,0.28459642136523156
