F1 Score,Precision,Recall,FP Rate (%),FN Rate (%),Drift Detected
0.8372068585708732,0.9877844802712256,0.7264647516292517,0.3354082554126528,27.353524837029475,True
0.8387725252193725,0.9879706548710756,0.7287244007287907,0.33126129968047935,27.127559927075957,True
0.8369468823583377,0.9879591463786067,0.725979001676086,0.33033287675536593,27.40209983234597,True
0.8361524543948835,0.9879419241850743,0.724793639162388,0.3302709818936917,27.520636083715573,True
0.8368092225674589,0.9879624113091047,0.7257701126177281,0.3301471921703432,27.42298873818173,True
0.833913657036361,0.9886816471738217,0.7210419253602922,0.3081745162759916,27.895807463924534,True
0.8310301646383598,0.9886150567532218,0.7167762781606489,0.3081745162759916,28.32237218388815,True
0.828270898618688,0.9885531640912436,0.7127128886206856,0.30811262141431733,28.728711137883806,True
0.8281512382402104,0.9885503732973913,0.7125371565557178,0.30811262141431733,28.746284344380555,True
0.8246913246227193,0.9884738774422941,0.7074691101160329,0.3079888316909689,29.253088988348214,True
0.8220477839496131,0.988324791539083,0.7036626872748433,0.3103408364345896,29.63373127246654,True
0.8225076537873903,0.9886437431190952,0.7041749628227212,0.3019850301085686,29.582503717678836,True
0.822476601465637,0.9952302252105905,0.7008261064903156,0.12539898975199013,29.917389350918832,True
0.8200429195847662,0.9954692648562663,0.6971821529167378,0.11846676524447637,30.281784708276017,True
0.8212465855571857,0.989203204933542,0.7020462838470733,0.28607805065829145,29.795371615243273,True
0.8228950045812575,0.99552612194083,0.7012869886984388,0.11766213204271138,29.8713011301066,True
0.8213565759361153,0.9953878000939435,0.6991234948797312,0.12094255971144556,30.08765051197699,True
0.8187495485576294,0.9954878080621311,0.6953054670908552,0.11766213204271138,30.469453290863974,True
0.8213232092924048,0.9955116399867782,0.6990140768015438,0.11766213204271138,30.09859231979572,True
0.8194810908027972,0.9891664673915592,0.699488221807023,0.2860161557966172,30.051177819247883,True
