Round,F1,Precision,Recall,FP Rate,FN Rate
1,0.838491192580011,0.9877964607937696,0.7283944886445587,0.0024463299192278467,0.07383607786792523
2,0.8379325423877696,0.9879391124429545,0.727474382077982,0.00241433113067494,0.07408620924323316
3,0.8383198096341681,0.987994852365482,0.7280281038675975,0.0024048667002578832,0.07393567973088568
4,0.837303236395284,0.9879700604202363,0.7265095135703284,0.0024048667002578832,0.07434850917193445
5,0.8366945292748553,0.9879529766553653,0.7256026698011078,0.0024053173874206,0.07459503504994064
6,0.8369043341309949,0.9879603159740163,0.7259143455389753,0.0024048667002578832,0.07451030586334985
7,0.8365650810645457,0.9879608660409267,0.7254037278407669,0.0024030639516070154,0.07464911750946668
8,0.8359371562695478,0.9879477214614659,0.7244670427774951,0.002402613264444298,0.07490375575640179
9,0.8338747228753296,0.9883665975933399,0.7211513434384796,0.0023075182731110123,0.07580513008183577
10,0.8322800847717918,0.9883578585025019,0.7187739870124057,0.0023016593399956915,0.07645141547317194
11,0.8323444514945538,0.9885739172469776,0.7187557506660411,0.00225839337237486,0.07645637303196183
12,0.8286577961304638,0.9885554238238349,0.7132848467566658,0.00224487275749335,0.07794364066892791
13,0.8274991179753727,0.9885374083073274,0.7115789194467425,0.002243070008842482,0.0784073977593637
14,0.827600498904069,0.9885420336508682,0.7117264680673286,0.0022426193216797652,0.07836728660188189
15,0.8300689742733943,0.9885994977913818,0.7153555009938809,0.0022426193216797652,0.07738073240269439
16,0.8264381157478028,0.9885193836381598,0.7100205407574052,0.002241717947354331,0.07883104369231768
17,0.8268621102388937,0.9885247791896317,0.7106438922331401,0.0022426193216797652,0.07866158531913608
18,0.8254771411603957,0.988496868669115,0.7086146842376627,0.002241717947354331,0.07921322640630168
19,0.8264871373329937,0.988518268070169,0.7100934861428635,0.002242168634517048,0.07881121345715814
20,0.8272320567704116,0.9885176130092241,0.7111942983234166,0.002245774131818784,0.07851195718111405
