Round,F1,Precision,Recall,FP Rate,FN Rate,Drift_Client1,Drift_Client2,Drift_Client3,Drift_Client4,Drift_Client5
1,0.8370764778549856,0.9878077379261203,0.7262558625708938,0.0033466551707256203,0.2737441374286524,0,0,0,0,0
2,0.8382387612645075,0.9879223683677648,0.7279452113841222,0.0033225161746726706,0.27205478861542687,0,0,0,0,0
3,0.8373641469185937,0.9879649249357558,0.7266040110014904,0.003304566664787144,0.27339598899805634,0,0,0,0,0
4,0.8366216247218335,0.9879556152569732,0.7254915938732508,0.0033020908703201746,0.2745084061262941,0,0,0,0,0
5,0.8358439381997107,0.9879432255263533,0.7243294412549259,0.0033002340244699477,0.2756705587446171,0,0,0,0,0
6,0.8364001415008653,0.9879590458486829,0.7251567082400102,0.0032996150758532053,0.27484329175953415,0,0,12,0,0
7,0.8370948772749116,0.987803778145561,0.726285703864945,0.0033478930679591047,0.2737142961346013,0,0,12,0,0
8,0.8328285439905444,0.9883663738335633,0.719587991200134,0.0031622084829364145,0.28041200879940115,0,0,12,0,0
9,0.8316070337742569,0.9884828875894209,0.7177046739755732,0.0031219768228481653,0.28229532602395874,0,0,12,0,0
10,0.8319354683823883,0.988609157862785,0.7181274256412977,0.003089172546160823,0.281872574358235,0,0,12,0,0
11,0.8310474899931285,0.9886199421965318,0.716799488056022,0.003080507265526431,0.2832005119435084,0,0,12,0,0
12,0.8281441331384634,0.9885524627040753,0.7125255516080313,0.003080507265526431,0.2874744483914921,0,0,12,0,0
13,0.828302970052866,0.9885584208045435,0.7127576505617623,0.003079888316909689,0.28724234943776145,0,0,12,0,0
14,0.8290042706572345,0.9885770047643648,0.7137871752065266,0.0030792693682929464,0.28621282479299887,0,0,12,0,0
15,0.8274215907622957,0.9885401142072638,0.7114628699698768,0.0030792693682929464,0.28853713002964476,0,0,12,0,0
16,0.8252843035468528,0.9884923444245478,0.7083328497938464,0.003078650419676204,0.2916671502056701,0,0,12,0,0
17,0.8256188931371413,0.9885001930506394,0.7088219154463512,0.003078650419676204,0.2911780845531661,0,0,12,0,0
18,0.8256461056013841,0.9885008311120256,0.7088617038384193,0.003078650419676204,0.291138296161098,0,0,12,0,0
19,0.8261051258071956,0.9885115877290638,0.70953313295457,0.003078650419676204,0.2904668670449485,0,0,12,0,0
20,0.8258052807223996,0.988509094270725,0.7090921449424809,0.0030774125224427196,0.2909078550570368,0,0,12,0,0
