Round,F1,Precision,Recall,FP Rate,FN Rate
1,0.8371650913565245,0.9877724099218417,0.7264083847404885,0.002444527170576979,0.07437600108886018
2,0.8375901359082357,0.9879505856853499,0.726952159432087,0.002410274946210487,0.07422817569948902
3,0.8362192285919738,0.9879435588643989,0.7248931101425585,0.0024048667002578832,0.07478792915558352
4,0.8349125692371611,0.9879181798204378,0.722945136780887,0.0024035146387697322,0.07531748657177599
5,0.8350022734343217,0.9879248172074186,0.7230761069047781,0.002402613264444298,0.07528188228592135
6,0.8350145402542007,0.9879251180647572,0.7230943432511426,0.002402613264444298,0.07527692472713146
7,0.8350387133716732,0.9883985302084773,0.7228771649444372,0.0023066168987855786,0.07533596474544739
8,0.8321801699412156,0.988348788479209,0.7186297540911585,0.0023030114014838425,0.07649062525632833
9,0.8302460142763864,0.9885003251600611,0.7156704924310874,0.0022633509311647468,0.07729510184177817
10,0.8285970731106,0.9885449962199636,0.7132002964235209,0.002246675506144218,0.07796662571422648
11,0.8286345754746508,0.9885593882409169,0.7132483740639366,0.0022439713831679162,0.07795355578650769
12,0.8285726668175493,0.9885647050171897,0.7131538766327747,0.0022426193216797652,0.07797924495478256
13,0.8271864206744537,0.988534620835878,0.7111180372386193,0.002242168634517048,0.07853268879059902
14,0.8274905410290396,0.9885417242459418,0.7115639987997169,0.002242168634517048,0.07841145394382816
15,0.8254513921747746,0.9884939972200573,0.7085782115449335,0.002242168634517048,0.07922314152388146
16,0.8261768321987543,0.9885110028797547,0.7096392353334184,0.002242168634517048,0.07893470173974258
17,0.8254510550690826,0.98849625677354,0.7085765536952641,0.002241717947354331,0.07922359221104418
18,0.8255587944773755,0.9884987837475374,0.7087340494138672,0.002241717947354331,0.07918077693058606
19,0.826068870600521,0.9885107385557809,0.7094800817651457,0.002241717947354331,0.07897796770736341
20,0.8253353549595835,0.9884935423650004,0.7084074530289742,0.002241717947354331,0.07926956230164131
