Model,Accuracy,Precision,Recall,F1 Score,False Positives,False Negatives,FP Rate (%),FN Rate (%),Model Size (MB),Train Time (s),Inference Time (ms/sample),Category,Contamination,Max Samples,Threshold
Logistic_Regressin,0.9826665795338544,0.9964135651623564,0.9396210149372504,0.9671843003412968,408,7284,0.1262653615119658,6.037898506274972,0.001143455505371,9.686550855636597,9.798399881200194e-05,Supervised - No SMOTE,,,
SGD Classifier,0.97541502635392,0.9856338626586648,0.9230176229712032,0.9532986319195932,1623,9287,0.5022761807203934,7.698237702879689,0.0013856887817382,5.191004037857056,7.848412088396491e-05,Supervised - No SMOTE,,,
Random_Forest,0.9978209285503428,0.9994490955986076,0.9925313748570104,0.9959782233479316,66,901,0.0204252790681121,0.7468625142989771,1.4747552871704102,50.45420336723328,0.0010658258804741,Supervised - No SMOTE,,,
Logistic_Regression_SMOTE,0.9702479003621268,0.9361000836195068,0.9558016545367132,0.94584828661075,7871,5332,2.435869265835007,4.419834546328686,0.001143455505371,10.738022327423096,0.0001578364550957,Supervised - With SMOTE,,,
SGD Classifier_SMOTE,0.9668519741215548,0.9346441701680672,0.9440806379416103,0.9393387052875536,7964,6746,2.4646503408855285,5.591936205838956,0.0013856887817382,5.864219427108765,7.562750562171465e-05,Supervised - With SMOTE,,,
Random_Forest_SMOTE,0.9959055089720508,0.98516189620677,1.0,0.9925254943581264,1817,0,0.5623141222236321,0.0,2.15651798248291,69.79761052131653,0.0011773182256353,Supervised - With SMOTE,,,
IsolationForest (Tuned),0.9054985636600124,0.8763753921493611,0.7595173004902261,0.8137725353945243,64626,145057,4.000017330561269,24.048269950977385,,111.18008518218994,0.0125980916005541,Unsupervised - Isolation Forest Tuning,0.04,1615643,
Autoencoder (Baseline),0.7781492441525594,1.0,0.1839235001848502,0.3107016629978771,0,492250,0.0,81.60764998151498,0.0874,154.51461458206177,0.0325080522040907,Unsupervised - Autoencoder Baseline,,,2004249.5153784377
Autoencoder (Tuned),0.90816212479167,0.9813169704185364,0.6750266499334373,0.7998522757297079,7752,196021,0.4798089676989285,32.497335006656265,0.0874,154.51461458206177,0.0325080522040907,Unsupervised - Autoencoder Tuned,,,0.0011861905301276
